Farm,Type,Round,Date,Species,Load,Netted on,Plant pollen,Status,Proportion,Weight
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Centaurea nigra,Centaurea nigra,Sown,60,45
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Centaurea nigra,Sown,50,50
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Leucanthemum vulgare,Centaurea nigra,Sown,80,60
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Leucanthemum vulgare,Centaurea nigra,Sown,30,15
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Centaurea scabiosa,Centaurea scabiosa,Sown,100,75
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Centaurea scabiosa,Centaurea scabiosa,Sown,35,26.25
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Heracleum sphondylium,Wild,10,10
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Heracleum sphondylium,Heracleum sphondylium,Wild,30,30
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Heracleum sphondylium,Wild,20,20
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Leucanthemum vulgare,Sown,100,100
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,100
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Centaurea nigra,Leucanthemum vulgare,Sown,90,90
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Centaurea nigra,Leucanthemum vulgare,Sown,70,70
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Centaurea nigra,Leucanthemum vulgare,Sown,90,45
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Leucanthemum vulgare,Sown,95,95
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,nests,Leucanthemum vulgare,Sown,95,71.25
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,100
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Centaurea nigra,Leucanthemum vulgare,Sown,25,12.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.25,Leucanthemum vulgare,Leucanthemum vulgare,Sown,50,12.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Leucanthemum vulgare,Leucanthemum vulgare,Sown,60,60
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Heracleum sphondylium,Leucanthemum vulgare,Sown,30,30
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,100
